                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5809,                 1.0433,                 1.4281,                0.76339,                0.72629,                0.78006,                 0.4067,                 1.6714,                 1.0035,                 1.5923,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.5795,                  1.037,                 1.4397,                0.77249,                 0.7211,                0.77402,                0.39344,                 1.6894,                 1.0389,                  1.598,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.5725,                 1.0257,                 1.4233,                0.76908,                0.73093,                0.77576,                0.40645,                 1.6731,                 1.0105,                 1.5928,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.5648,                0.99276,                 1.4161,                 0.7572,                0.73141,                0.76725,                0.39894,                  1.681,                 1.0402,                 1.5908,               0.001307,               0.001307,               0.001307
                     38,                 1.5547,                 1.0082,                 1.4207,                0.77218,                0.70979,                 0.7652,                0.39907,                 1.6755,                 1.0553,                 1.6046,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.5783,                 1.0388,                 1.4282,                0.73442,                0.76649,                0.78343,                0.40838,                 1.6842,                0.98995,                  1.598,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.5538,                 1.0121,                  1.419,                0.77446,                0.71753,                0.77063,                0.39887,                 1.6742,                0.99485,                 1.6066,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.5511,                 1.0292,                 1.4095,                0.75378,                0.74485,                0.77906,                0.40572,                 1.6523,                  1.006,                 1.5951,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.5512,                0.99322,                 1.4014,                0.76388,                 0.7232,                0.75912,                0.39137,                  1.661,                 1.0501,                 1.6038,               0.001208,               0.001208,               0.001208
                     43,                 1.5484,                 1.0176,                 1.4071,                0.75531,                0.74942,                0.77948,                0.40311,                 1.6858,                 1.0016,                 1.6016,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.5189,                 0.9815,                 1.3989,                0.75776,                0.74817,                0.77892,                0.39949,                 1.6829,                0.98453,                 1.6081,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.5383,                0.98656,                 1.3937,                0.78502,                0.71753,                0.77314,                0.40155,                 1.6632,                  1.018,                 1.5845,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.5513,                 1.0039,                 1.4113,                0.75737,                0.74845,                0.77863,                0.39528,                 1.6877,                0.98359,                 1.6008,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.5418,                0.99289,                 1.4153,                0.76564,                0.72747,                0.77452,                0.39758,                 1.6755,                0.99908,                 1.5948,               0.001109,               0.001109,               0.001109
                     48,                 1.5427,                0.99808,                 1.4126,                0.76651,                0.74118,                0.77504,                0.39688,                 1.6952,                0.99523,                 1.5986,              0.0010892,              0.0010892,              0.0010892
                     49,                   1.53,                 0.9787,                 1.4087,                0.75708,                0.75206,                0.78043,                0.40691,                 1.6698,                0.98442,                 1.5953,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.5269,                0.96938,                 1.3954,                0.76108,                0.74227,                0.77964,                0.40624,                 1.6595,                0.99386,                 1.5971,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.5151,                0.97273,                 1.3942,                0.75086,                0.73557,                0.77506,                0.40379,                  1.662,                0.98268,                 1.5957,              0.0010298,              0.0010298,              0.0010298
                     52,                  1.514,                0.97289,                 1.3915,                 0.7634,                 0.7401,                0.77726,                0.40668,                 1.6603,                0.98738,                 1.5898,                0.00101,                0.00101,                0.00101
                     53,                 1.5222,                0.97662,                 1.3885,                0.76863,                0.73814,                0.77934,                0.40388,                 1.6493,                0.98397,                 1.5883,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.5056,                0.96033,                 1.3812,                0.76646,                0.74268,                0.78169,                 0.4083,                 1.6514,                0.97477,                 1.5873,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.4926,                0.95756,                   1.38,                0.76296,                0.75155,                 0.7827,                0.40593,                 1.6554,                0.98278,                 1.5865,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.5087,                0.96417,                 1.3827,                0.77315,                0.73962,                0.77583,                0.40411,                 1.6494,                0.99749,                 1.5806,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.4825,                0.97119,                 1.3735,                0.75966,                0.74456,                 0.7723,                0.40161,                 1.6495,                 0.9972,                  1.598,               0.000911,               0.000911,               0.000911
                     58,                 1.4837,                0.96573,                   1.38,                0.77228,                0.73071,                0.78007,                0.40643,                 1.6588,                0.98072,                 1.5994,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.4836,                0.96598,                 1.3809,                0.76213,                0.74156,                0.77745,                0.40575,                 1.6517,                0.97684,                 1.5883,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.4713,                0.93949,                  1.369,                0.77892,                0.72732,                0.78523,                0.40899,                 1.6678,                0.97804,                 1.5924,              0.0008516,              0.0008516,              0.0008516
                     61,                  1.472,                0.94438,                 1.3608,                0.76556,                0.75411,                0.78865,                 0.4077,                 1.6617,                0.96231,                 1.5955,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.4807,                0.95796,                 1.3563,                0.77121,                0.73402,                0.77851,                0.40172,                  1.673,                0.97486,                 1.5944,               0.000812,               0.000812,               0.000812
                     63,                 1.5075,                0.98112,                 1.3864,                0.76019,                 0.7402,                0.77663,                0.39602,                 1.6903,                0.99855,                 1.6072,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.4643,                 0.9273,                 1.3653,                0.75195,                0.75464,                0.78504,                0.40704,                 1.6646,                0.97194,                 1.5868,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.4799,                0.93503,                 1.3724,                0.74819,                0.75567,                0.78406,                 0.4033,                 1.6869,                0.96706,                 1.6051,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.4636,                0.91597,                 1.3675,                0.74373,                0.75396,                0.77962,                0.39949,                 1.6753,                0.97807,                 1.5982,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.4477,                0.93633,                 1.3567,                0.75653,                0.75567,                0.78443,                0.40731,                 1.6687,                0.96313,                 1.5932,               0.000713,               0.000713,               0.000713
                     68,                 1.4805,                0.93368,                 1.3679,                 0.7356,                0.75412,                0.77649,                0.39861,                 1.6662,                0.97374,                 1.6016,              0.0006932,              0.0006932,              0.0006932
                     69,                  1.447,                0.92155,                 1.3483,                0.76867,                0.75361,                0.77818,                  0.402,                 1.6917,                 0.9721,                 1.6081,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.4694,                0.90135,                 1.3672,                0.76199,                0.72526,                0.76563,                0.39204,                 1.7045,                0.97804,                 1.6159,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.4354,                0.91223,                 1.3435,                0.76127,                0.75155,                 0.7806,                 0.4058,                 1.6784,                0.98278,                  1.608,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.4451,                0.91152,                 1.3511,                0.76528,                0.73918,                0.78364,                0.40393,                 1.6955,                0.96309,                 1.6085,               0.000614,               0.000614,               0.000614
                     73,                 1.4373,                0.89862,                 1.3347,                0.74968,                0.75025,                0.77635,                0.39903,                 1.6911,                0.97643,                 1.6218,              0.0005942,              0.0005942,              0.0005942
                     74,                  1.449,                0.92559,                 1.3554,                0.75212,                0.74175,                0.76707,                0.39359,                 1.6847,                0.97381,                 1.6122,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.4476,                0.90057,                 1.3546,                0.76523,                0.73454,                0.77254,                0.39585,                 1.6986,                0.96666,                 1.6178,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.4436,                0.91048,                 1.3542,                0.77133,                0.73372,                0.78169,                0.40199,                 1.6829,                0.96875,                 1.6135,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.4405,                0.90698,                  1.349,                0.75601,                0.74227,                0.77809,                0.39911,                 1.6878,                0.95856,                  1.619,               0.000515,               0.000515,               0.000515
                     78,                 1.4111,                 0.8957,                 1.3392,                0.76589,                0.73557,                0.77382,                0.40249,                 1.6751,                0.98764,                 1.6095,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.4292,                0.89513,                 1.3444,                0.77084,                0.73516,                0.78299,                0.40094,                 1.7101,                0.97589,                 1.6251,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.4079,                0.89929,                 1.3238,                0.76996,                0.71649,                0.76336,                 0.3935,                 1.6741,                  1.005,                 1.6231,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.4072,                 0.8771,                 1.3248,                0.76892,                0.72898,                0.77596,                0.40339,                  1.677,                 0.9591,                 1.6063,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.4062,                0.87613,                 1.3271,                0.75287,                0.75464,                0.77795,                0.39737,                 1.6806,                0.97359,                 1.6184,               0.000416,               0.000416,               0.000416
                     83,                 1.3974,                0.87355,                 1.3206,                0.75105,                0.75258,                0.78115,                0.39976,                 1.7139,                0.95821,                 1.6341,              0.0003962,              0.0003962,              0.0003962
